Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol:   7 11NL        
No. of strips: 2
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    6:30Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V   10:20Hrs
 8:21 -> 2987V at 24uA  6998Vhrs
 8:25 -> 3139V at 25uA  7198Vhrs
 8:26 -> 3182V at 25uA  7256Vhrs
 8:30 -> 3334V at 25uA  7468Vhrs
 8:31 -> 3377V at 26uA  7530Vhrs
 8:35 -> 3528V at 26uA  7753Vhrs
 8:36 -> 3571V at 26uA  7819Vhrs
 8:40 -> 3723V at 25uA  8056Vhrs
 8:41 -> 3765V at 25uA  8124Vhrs
 8:45 -> 3917V at 25uA  8374Vhrs
 8:46 -> 3959V at 25uA  8444Vhrs
 8:50 -> 4112V at 25uA  8709Vhrs
 8:51 -> 4153V at 25uA  8782Vhrs
 8:55 -> 4306V at 25uA  9060Vhrs
 8:56 -> 4347V at 25uA  9134Vhrs
 9:00 -> 4501V at 25uA  9427Vhrs
 9:01 -> 4540V at 24uA  9503Vhrs
 9:05 -> 4695V at 23uA  9810Vhrs
 9:06 -> 4734V at 24uA  9888Vhrs
 9:10 -> 4890V at 23uA 10210Vhrs
 9:11 -> 4928V at 23uA 10289Vhrs
 9:15 -> 5084V at 23uA 10625Vhrs
 9:15 -> 5121V at 23uA 10706Vhrs
 9:20 -> 5279V at 23uA 11057Vhrs
 9:20 -> 5315V at 23uA 11140Vhrs
 9:25 -> 5473V at 24uA 11505Vhrs
 9:25 -> 5509V at 24uA 11590Vhrs
 9:30 -> 5667V at 24uA 11970Vhrs
 9:30 -> 5703V at 24uA 12055Vhrs
 9:35 -> 5862V at 24uA 12450Vhrs
 9:35 -> 5897V at 24uA 12537Vhrs
 9:40 -> 6057V at 24uA 12946Vhrs
 9:40 -> 6090V at 24uA 13034Vhrs
 9:45 -> 6251V at 24uA 13460Vhrs
 9:45 -> 6284V at 24uA 13548Vhrs
 9:50 -> 6445V at 20uA 13989Vhrs
 9:50 -> 6478V at 20uA 14078Vhrs
 9:55 -> 6640V at 24uA 14534Vhrs
 9:55 -> 6672V at 24uA 14624Vhrs
10:00 -> 6835V at 24uA 15095Vhrs
10:00 -> 6865V at 24uA 15187Vhrs
10:05 -> 7029V at 24uA 15674Vhrs
10:05 -> 7059V at 24uA 15765Vhrs
10:10 -> 7224V at 23uA 16267Vhrs
10:10 -> 7253V at 23uA 16359Vhrs
10:15 -> 7418V at 22uA 16878Vhrs
10:15 -> 7447V at 22uA 16969Vhrs
10:20 -> 7612V at 22uA 17504Vhrs
10:20 -> 7641V at 22uA 17596Vhrs
10:25 -> 7807V at 21uA 18146Vhrs
10:25 -> 7834V at 21uA 18238Vhrs
10:30 -> 8000V at 21uA 18801Vhrs
Step  4
10:30 -> 8000V at 21uA 18897Vhrs
10:35 -> 8000V at 25uA 19469Vhrs
10:35 -> 8000V at 25uA 19561Vhrs
10:40 -> 8000V at 26uA 20136Vhrs
10:40 -> 8000V at 26uA 20226Vhrs
10:45 -> 8000V at 26uA 20804Vhrs
10:45 -> 8000V at 26uA 20892Vhrs
