Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol: 4 7 24 CM       
No. of strips: 3
Rehydraton:for 12:00Hrs at 20 C
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    1:00Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V    5:30Hrs


 8:00 -> 8000V at 18uA 38877Vhrs
 8:05 -> 8000V at 18uA 39415Vhrs
 8:06 -> 8000V at 18uA 39545Vhrs
 8:10 -> 8000V at 18uA 40080Vhrs
 8:11 -> 8000V at 18uA 40213Vhrs
 8:15 -> 8000V at 18uA 40746Vhrs
 8:16 -> 8000V at 18uA 40881Vhrs
 8:20 -> 8000V at 18uA 41412Vhrs
 8:21 -> 8000V at 18uA 41550Vhrs
 8:25 -> 8000V at 19uA 42078Vhrs
 8:26 -> 8000V at 19uA 42218Vhrs
 8:30 -> 8000V at 19uA 42743Vhrs
 8:31 -> 8000V at 19uA 42886Vhrs
 8:35 -> 8000V at 19uA 43410Vhrs
 8:36 -> 8000V at 19uA 43552Vhrs
 8:40 -> 8000V at 19uA 44076Vhrs
 8:41 -> 8000V at 19uA 44214Vhrs
 8:45 -> 8000V at 19uA 44742Vhrs
 8:46 -> 8000V at 19uA 44879Vhrs
 8:50 -> 8000V at 19uA 45408Vhrs
 8:51 -> 8000V at 19uA 45542Vhrs
 8:55 -> 8000V at 19uA 46074Vhrs
 8:56 -> 8000V at 19uA 46205Vhrs
 9:00 -> 8000V at 19uA 46740Vhrs
 9:01 -> 8000V at 19uA 46869Vhrs
 9:05 -> 8000V at 18uA 47406Vhrs
 9:05 -> 8000V at 18uA 47532Vhrs
 9:10 -> 8000V at 18uA 48072Vhrs
 9:10 -> 8000V at 19uA 48197Vhrs
 9:15 -> 8000V at 19uA 48739Vhrs
 9:15 -> 8000V at 19uA 48860Vhrs
 9:20 -> 8000V at 19uA 49404Vhrs
 9:20 -> 8000V at 19uA 49524Vhrs
 9:25 -> 8000V at 18uA 50070Vhrs
 9:25 -> 8000V at 18uA 50187Vhrs
 9:30 -> 8000V at 19uA 50736Vhrs
 9:30 -> 8000V at 19uA 50851Vhrs
 9:35 -> 8000V at 19uA 51403Vhrs
 9:35 -> 8000V at 18uA 51514Vhrs
 9:40 -> 8000V at 18uA 52069Vhrs
 9:40 -> 8000V at 18uA 52178Vhrs
 9:45 -> 8000V at 19uA 52735Vhrs
 9:45 -> 8000V at 19uA 52841Vhrs
 9:50 -> 8000V at 18uA 53400Vhrs
 9:50 -> 8000V at 18uA 53505Vhrs
 9:55 -> 8000V at 18uA 54067Vhrs
 9:55 -> 8000V at 18uA 54169Vhrs
10:00 -> 8000V at 18uA 54733Vhrs
10:00 -> 8000V at 18uA 54832Vhrs
10:05 -> 8000V at 18uA 55398Vhrs
10:05 -> 8000V at 18uA 55496Vhrs
10:10 -> 8000V at 18uA 56065Vhrs
10:10 -> 8000V at 18uA 56159Vhrs
10:15 -> 8000V at 18uA 56731Vhrs
10:15 -> 8000V at 18uA 56823Vhrs
10:20 -> 8000V at 18uA 57397Vhrs
10:20 -> 8000V at 18uA 57486Vhrs
10:25 -> 8000V at 18uA 58063Vhrs
10:25 -> 8000V at 18uA 58149Vhrs
10:30 -> 8000V at 18uA 58729Vhrs
10:30 -> 8000V at 18uA 58813Vhrs
10:35 -> 8000V at 18uA 59395Vhrs
10:35 -> 8000V at 18uA 59477Vhrs
10:40 -> 8000V at 18uA 60061Vhrs
10:40 -> 8000V at 18uA 60141Vhrs
