Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol: 3 11NL 24CM     
No. of strips: 6
Rehydraton:for  8:00Hrs at 20 C
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    3:00Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V    8:45Hrs


 6:40 -> 7249V at 35uA 13732Vhrs
 6:45 -> 7418V at 35uA 14261Vhrs
 6:45 -> 7444V at 35uA 14346Vhrs
 6:50 -> 7612V at 36uA 14887Vhrs
 6:50 -> 7640V at 36uA 14977Vhrs
 6:55 -> 7806V at 37uA 15530Vhrs
 6:55 -> 7835V at 37uA 15624Vhrs
 7:00 -> 8000V at 38uA 16185Vhrs
Step  4
 7:00 -> 8000V at 38uA 16289Vhrs
 7:05 -> 8000V at 37uA 16853Vhrs
 7:05 -> 8000V at 37uA 16957Vhrs
 7:10 -> 8000V at 37uA 17520Vhrs
 7:10 -> 8000V at 37uA 17627Vhrs
 7:15 -> 8000V at 37uA 18187Vhrs
 7:15 -> 8000V at 37uA 18296Vhrs
 7:20 -> 8000V at 37uA 18854Vhrs
 7:20 -> 8000V at 37uA 18966Vhrs
 7:25 -> 8000V at 37uA 19521Vhrs
 7:25 -> 8000V at 37uA 19635Vhrs
 7:30 -> 8000V at 37uA 20188Vhrs
 7:30 -> 8000V at 37uA 20305Vhrs
 7:35 -> 8000V at 37uA 20854Vhrs
 7:35 -> 8000V at 37uA 20974Vhrs
 7:40 -> 8000V at 37uA 21521Vhrs
 7:40 -> 8000V at 37uA 21643Vhrs
 7:45 -> 8000V at 36uA 22188Vhrs
 7:45 -> 8000V at 36uA 22313Vhrs
 7:50 -> 8000V at 36uA 22856Vhrs
 7:50 -> 8000V at 37uA 22983Vhrs
 7:55 -> 8000V at 36uA 23523Vhrs
 7:55 -> 8000V at 36uA 23651Vhrs
 8:00 -> 8000V at 36uA 24189Vhrs
 8:01 -> 8000V at 36uA 24321Vhrs
 8:05 -> 8000V at 36uA 24856Vhrs
 8:06 -> 8000V at 36uA 24991Vhrs
 8:10 -> 8000V at 36uA 25523Vhrs
 8:11 -> 8000V at 36uA 25660Vhrs
 8:15 -> 8000V at 36uA 26190Vhrs
 8:16 -> 8000V at 36uA 26330Vhrs
 8:20 -> 8000V at 36uA 26857Vhrs
 8:21 -> 8000V at 36uA 26999Vhrs
 8:25 -> 8000V at 36uA 27523Vhrs
 8:26 -> 8000V at 36uA 27668Vhrs
 8:30 -> 8000V at 36uA 28191Vhrs
 8:31 -> 8000V at 36uA 28338Vhrs
 8:35 -> 8000V at 36uA 28858Vhrs
 8:36 -> 8000V at 37uA 29003Vhrs
 8:40 -> 8000V at 36uA 29526Vhrs
 8:41 -> 8000V at 36uA 29668Vhrs
 8:45 -> 8000V at 36uA 30192Vhrs
 8:46 -> 8000V at 36uA 30333Vhrs
 8:50 -> 8000V at 36uA 30859Vhrs
 8:51 -> 8000V at 36uA 30997Vhrs
 8:55 -> 8000V at 36uA 31527Vhrs
 8:56 -> 8000V at 36uA 31662Vhrs
 9:00 -> 8000V at 35uA 32194Vhrs
 9:01 -> 8000V at 35uA 32327Vhrs
 9:05 -> 8000V at 35uA 32861Vhrs
 9:06 -> 8000V at 35uA 32991Vhrs
 9:10 -> 8000V at 35uA 33527Vhrs
 9:11 -> 8000V at 35uA 33655Vhrs
 9:15 -> 8000V at 36uA 34193Vhrs
 9:15 -> 8000V at 36uA 34319Vhrs
 9:20 -> 8000V at 35uA 34860Vhrs
 9:20 -> 8000V at 35uA 34982Vhrs
 9:25 -> 8000V at 35uA 35526Vhrs
 9:25 -> 8000V at 35uA 35646Vhrs
 9:30 -> 8000V at 35uA 36192Vhrs
 9:30 -> 8000V at 35uA 36309Vhrs
 9:35 -> 8000V at 35uA 36857Vhrs
 9:35 -> 8000V at 35uA 36973Vhrs
 9:40 -> 8000V at 35uA 37524Vhrs
 9:40 -> 8000V at 35uA 37637Vhrs
 9:45 -> 8000V at 35uA 38190Vhrs
 9:45 -> 8000V at 35uA 38300Vhrs
 9:50 -> 8000V at 35uA 38856Vhrs
 9:50 -> 8000V at 35uA 38964Vhrs
 9:55 -> 8000V at 35uA 39521Vhrs
 9:55 -> 8000V at 35uA 39627Vhrs
10:00 -> 8000V at 35uA 40188Vhrs
10:00 -> 8000V at 35uA 40291Vhrs
10:05 -> 8000V at 35uA 40854Vhrs
10:05 -> 8000V at 35uA 40954Vhrs
10:10 -> 8000V at 35uA 41520Vhrs
10:10 -> 8000V at 35uA 41618Vhrs
10:15 -> 8000V at 35uA 42186Vhrs
10:15 -> 8000V at 35uA 42282Vhrs
10:20 -> 8000V at 35uA 42852Vhrs
10:20 -> 8000V at 35uA 42945Vhrs
10:25 -> 8000V at 34uA 43518Vhrs
10:25 -> 8000V at 34uA 43609Vhrs
10:30 -> 8000V at 34uA 44184Vhrs
10:30 -> 8000V at 34uA 44273Vhrs
10:35 -> 8000V at 34uA 44850Vhrs
10:35 -> 8000V at 34uA 44937Vhrs
10:40 -> 8000V at 34uA 45516Vhrs
10:40 -> 8000V at 34uA 45600Vhrs
10:45 -> 8000V at 33uA 46182Vhrs
10:45 -> 8000V at 33uA 46263Vhrs
10:50 -> 8000V at 33uA 46849Vhrs
10:50 -> 8000V at 33uA 46926Vhrs
10:55 -> 8000V at 33uA 47515Vhrs
10:55 -> 8000V at 33uA 47591Vhrs
11:00 -> 8000V at 33uA 48181Vhrs
11:00 -> 8000V at 33uA 48254Vhrs
11:05 -> 8000V at 33uA 48846Vhrs
11:05 -> 8000V at 33uA 48917Vhrs
11:10 -> 8000V at 33uA 49513Vhrs
11:10 -> 8000V at 33uA 49582Vhrs
11:15 -> 8000V at 33uA 50178Vhrs
11:15 -> 8000V at 34uA 50245Vhrs
11:20 -> 8000V at 34uA 50845Vhrs
11:20 -> 8000V at 34uA 50908Vhrs
11:25 -> 8000V at 34uA 51510Vhrs
11:25 -> 8000V at 34uA 51572Vhrs
11:30 -> 8000V at 33uA 52176Vhrs
11:30 -> 8000V at 34uA 52235Vhrs
11:35 -> 8000V at 33uA 52843Vhrs
11:35 -> 8000V at 33uA 52899Vhrs
11:40 -> 8000V at 33uA 53509Vhrs
11:40 -> 8000V at 33uA 53563Vhrs
11:45 -> 8000V at 32uA 54174Vhrs
11:45 -> 8000V at 32uA 54226Vhrs
11:50 -> 8000V at 32uA 54841Vhrs
11:50 -> 8000V at 32uA 54890Vhrs
11:55 -> 8000V at 32uA 55507Vhrs
11:55 -> 8000V at 32uA 55554Vhrs
12:00 -> 8000V at 32uA 56173Vhrs
12:00 -> 8000V at 32uA 56217Vhrs
12:05 -> 8000V at 32uA 56839Vhrs
12:05 -> 8000V at 32uA 56881Vhrs
12:10 -> 8000V at 32uA 57505Vhrs
12:10 -> 8000V at 32uA 57544Vhrs
12:15 -> 8000V at 32uA 58171Vhrs
12:15 -> 8000V at 32uA 58208Vhrs
12:20 -> 8000V at 32uA 58837Vhrs
12:20 -> 8000V at 33uA 58871Vhrs
12:25 -> 8000V at 33uA 59503Vhrs
12:25 -> 8000V at 33uA 59535Vhrs
12:30 -> 8000V at 33uA 60169Vhrs
12:30 -> 8000V at 33uA 60198Vhrs
12:35 -> 8000V at 33uA 60835Vhrs
12:35 -> 8000V at 33uA 60862Vhrs
12:40 -> 8000V at 33uA 61502Vhrs
12:40 -> 8000V at 33uA 61526Vhrs
12:45 -> 8000V at 33uA 62167Vhrs
12:45 -> 8000V at 33uA 62190Vhrs
12:50 -> 8000V at 33uA 62834Vhrs
12:50 -> 8000V at 33uA 62853Vhrs
12:55 -> 8000V at 33uA 63500Vhrs
12:55 -> 8000V at 33uA 63517Vhrs
13:00 -> 8000V at 33uA 64165Vhrs
13:00 -> 8000V at 33uA 64180Vhrs
13:05 -> 8000V at 33uA 64832Vhrs
13:05 -> 8000V at 33uA 64844Vhrs
13:10 -> 8000V at 33uA 65498Vhrs
13:10 -> 8000V at 33uA 65508Vhrs
13:15 -> 8000V at 33uA 66166Vhrs
13:15 -> 8000V at 33uA 66173Vhrs
13:20 -> 8000V at 33uA 66834Vhrs
13:20 -> 8000V at 33uA 66839Vhrs
13:25 -> 8000V at 33uA 67502Vhrs
13:25 -> 8000V at 33uA 67505Vhrs
13:30 -> 8000V at 33uA 68171Vhrs
13:30 -> 8000V at 33uA 68171Vhrs
13:35 -> 8000V at 33uA 68837Vhrs
13:35 -> 8000V at 33uA 68840Vhrs
13:40 -> 8000V at 33uA 69503Vhrs
13:40 -> 8000V at 33uA 69508Vhrs
13:45 -> 8000V at 33uA 70169Vhrs
13:45 -> 8000V at 33uA 70176Vhrs
13:50 -> 8000V at 33uA 70834Vhrs
13:50 -> 8000V at 33uA 70844Vhrs
13:55 -> 8000V at 33uA 71501Vhrs
13:55 -> 8000V at 33uA 71513Vhrs
14:00 -> 8000V at 33uA 72167Vhrs
14:00 -> 8000V at 33uA 72182Vhrs
14:04 -> 8000V at 33uA 72832Vhrs
14:05 -> 8000V at 33uA 72850Vhrs
14:05 -> Paused at step  4
ÿÿÿ
